id,path,filename,extension,size_bytes,parent_skill,relative_path
1,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,SKILL.md,.md,6100,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,SKILL.md
2,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/references/README.md,README.md,.md,63,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,references/README.md
3,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/README.md,README.md,.md,287,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,assets/README.md
4,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/report_template.md,report_template.md,.md,7194,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,assets/report_template.md
5,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/example_dataset.csv,example_dataset.csv,.csv,2355,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,assets/example_dataset.csv
6,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/assets/example_model.pkl,example_model.pkl,.pkl,1819,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,assets/example_model.pkl
7,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/scripts/README.md,README.md,.md,386,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,scripts/README.md
8,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/scripts/generate_report.py,generate_report.py,.py,11426,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,scripts/generate_report.py
9,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/scripts/validate_dataset.py,validate_dataset.py,.py,12283,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,scripts/validate_dataset.py
10,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/scripts/validate_model.py,validate_model.py,.py,9420,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,scripts/validate_model.py
11,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,SKILL.md,.md,5427,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,SKILL.md
12,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/references/implementation.md,implementation.md,.md,1420,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,references/implementation.md
13,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/references/README.md,README.md,.md,57,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,references/README.md
14,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/references/examples.md,examples.md,.md,12778,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,references/examples.md
15,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/references/errors.md,errors.md,.md,989,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,references/errors.md
16,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/assets/README.md,README.md,.md,333,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,assets/README.md
17,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/assets/agent_template.ts,agent_template.ts,.ts,3915,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,assets/agent_template.ts
18,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/assets/example_coordinator.ts,example_coordinator.ts,.ts,3815,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,assets/example_coordinator.ts
19,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/assets/example_workflow.json,example_workflow.json,.json,6900,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,assets/example_workflow.json
20,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/scripts/README.md,README.md,.md,380,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,scripts/README.md
21,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/scripts/dependency_installer.sh,dependency_installer.sh,.sh,2823,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,scripts/dependency_installer.sh
22,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/scripts/agent_setup.sh,agent_setup.sh,.sh,2652,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,scripts/agent_setup.sh
23,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/scripts/env_setup.sh,env_setup.sh,.sh,2632,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,scripts/env_setup.sh
24,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,SKILL.md,.md,5526,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,SKILL.md
25,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/references/implementation.md,implementation.md,.md,1771,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,references/implementation.md
26,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/references/README.md,README.md,.md,68,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,references/README.md
27,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/references/examples.md,examples.md,.md,12556,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,references/examples.md
28,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/references/errors.md,errors.md,.md,1001,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,references/errors.md
29,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/assets/README.md,README.md,.md,404,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,assets/README.md
30,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/scripts/README.md,README.md,.md,639,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,scripts/README.md
31,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,SKILL.md,.md,2776,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,SKILL.md
32,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/references/implementation.md,implementation.md,.md,1737,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,references/implementation.md
33,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/references/README.md,README.md,.md,67,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,references/README.md
34,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/references/examples.md,examples.md,.md,288,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,references/examples.md
35,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/references/errors.md,errors.md,.md,1008,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,references/errors.md
36,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/assets/pipeline_template.yaml,pipeline_template.yaml,.yaml,3667,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,assets/pipeline_template.yaml
37,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/assets/README.md,README.md,.md,366,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,assets/README.md
38,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/assets/example_dataset.csv,example_dataset.csv,.csv,1119,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,assets/example_dataset.csv
39,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/assets/evaluation_report_template.html,evaluation_report_template.html,.html,5091,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,assets/evaluation_report_template.html
40,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/scripts/README.md,README.md,.md,490,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,scripts/README.md
41,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/scripts/pipeline_deployment.py,pipeline_deployment.py,.py,5610,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,scripts/pipeline_deployment.py
42,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,SKILL.md,.md,3809,plugins/ai-ml/classification-model-builder/skills/building-classification-models,SKILL.md
43,plugins/ai-ml/classification-model-builder/skills/building-classification-models/references/README.md,README.md,.md,72,plugins/ai-ml/classification-model-builder/skills/building-classification-models,references/README.md
44,plugins/ai-ml/classification-model-builder/skills/building-classification-models/assets/README.md,README.md,.md,412,plugins/ai-ml/classification-model-builder/skills/building-classification-models,assets/README.md
