id,skill_path,pack_name,plugin_name,line_count,word_count,code_block_count,comment_only_code_block_count,import_code_block_count,url_code_block_count,real_url_count,real_import_count,placeholder_step,placeholder_todo,placeholder_implementation,placeholder_add,placeholder_your,placeholder_api_key,placeholder_token,placeholder_api_example,placeholder_example,placeholder_table_error
1,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness/SKILL.md,ai-ml,ai-ethics-validator,81,791,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems/SKILL.md,ai-ml,ai-sdk-agents,80,719,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies/SKILL.md,ai-ml,anomaly-detection-system,83,720,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines/SKILL.md,ai-ml,automl-pipeline-builder,70,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,plugins/ai-ml/classification-model-builder/skills/building-classification-models/SKILL.md,ai-ml,classification-model-builder,85,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms/SKILL.md,ai-ml,clustering-algorithm-runner,88,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks/SKILL.md,ai-ml,computer-vision-processor,85,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines/SKILL.md,ai-ml,data-preprocessing-pipeline,86,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations/SKILL.md,ai-ml,data-visualization-creator,85,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,plugins/ai-ml/dataset-splitter/skills/splitting-datasets/SKILL.md,ai-ml,dataset-splitter,85,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models/SKILL.md,ai-ml,deep-learning-optimizer,90,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking/SKILL.md,ai-ml,experiment-tracking-setup,87,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning/SKILL.md,ai-ml,feature-engineering-toolkit,86,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters/SKILL.md,ai-ml,hyperparameter-tuner,87,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist/SKILL.md,ai-ml,jeremy-adk-orchestrator,53,332,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer/SKILL.md,ai-ml,jeremy-adk-software-engineer,67,444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert/SKILL.md,ai-ml,jeremy-gcp-starter-examples,80,763,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
18,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert/SKILL.md,ai-ml,jeremy-genkit-pro,80,777,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
19,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector/SKILL.md,ai-ml,jeremy-vertex-engine,83,863,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
20,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert/SKILL.md,ai-ml,jeremy-vertex-validator,110,926,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
21,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models/SKILL.md,ai-ml,ml-model-trainer,85,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models/SKILL.md,ai-ml,model-deployment-helper,87,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models/SKILL.md,ai-ml,model-evaluation-suite,88,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models/SKILL.md,ai-ml,model-explainability-tool,90,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions/SKILL.md,ai-ml,model-versioning-tracker,68,706,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
26,plugins/ai-ml/neural-network-builder/skills/building-neural-networks/SKILL.md,ai-ml,neural-network-builder,85,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,plugins/ai-ml/nlp-text-analyzer/skills/analyzing-text-with-nlp/SKILL.md,ai-ml,nlp-text-analyzer,85,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,plugins/ai-ml/ollama-local-ai/skills/ollama-setup/SKILL.md,ai-ml,ollama-local-ai,84,791,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
29,plugins/ai-ml/recommendation-engine/skills/building-recommendation-systems/SKILL.md,ai-ml,recommendation-engine,85,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,plugins/ai-ml/regression-analysis-tool/skills/performing-regression-analysis/SKILL.md,ai-ml,regression-analysis-tool,89,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,plugins/ai-ml/sentiment-analysis-tool/skills/analyzing-text-sentiment/SKILL.md,ai-ml,sentiment-analysis-tool,86,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,plugins/ai-ml/time-series-forecaster/skills/forecasting-time-series-data/SKILL.md,ai-ml,time-series-forecaster,87,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,plugins/ai-ml/transfer-learning-adapter/skills/adapting-transfer-learning-models/SKILL.md,ai-ml,transfer-learning-adapter,88,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,plugins/api-development/api-authentication-builder/skills/building-api-authentication/SKILL.md,api-development,api-authentication-builder,79,749,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
35,plugins/api-development/api-batch-processor/skills/processing-api-batches/SKILL.md,api-development,api-batch-processor,79,765,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
36,plugins/api-development/api-cache-manager/skills/managing-api-cache/SKILL.md,api-development,api-cache-manager,78,678,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
37,plugins/api-development/api-contract-generator/skills/generating-api-contracts/SKILL.md,api-development,api-contract-generator,77,654,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
38,plugins/api-development/api-documentation-generator/skills/generating-api-docs/SKILL.md,api-development,api-documentation-generator,77,685,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
